Gender,Domicile,DegreeTitle,MatricMarks,MatricMaxMarks,MetricBoardName,InterDegreeTitle,InterMarks,InterMaxMarks,InterSubjects,InterBoard,NtsMarks,Session,Year,hum100,csc101,mth100,mth101,phy121,hum110,hum114,csc102,eee241,csc110,mth104,csc211,csc103,csc241,hum102,mth105,hum103,bio231,hum111,eee121,cse291,mth231,mgt101,csc322,mth262,cse304,csc339,cse305,cse303,csc371,csc291,csc336,csc301,csc462,csc141,bio130,bio111,bio132,mth242,phy120,csc356,cse302,cse494,cse333,csc461,cse350,csc303,cse356,csc475,cse455,cse498,csc412,csc441,eee440,csc350,csc321,csc454,csc483,csc498,csc312,csc354,csc496,mgt403,bio310,cse354,cse499,hum430,hum220,cse483,env230,hum434,csc402,csc499,mgt131,csc455,phy100,phy229,csc471,csc112,csc221,mgt350,eee231,csc494,csc444,hum320,csc478,cse299,csc479,csc448,csc271,mth467,cse355,csc456,csc253,mth375,bsc208,csc201,csc330,csc445,csc447,csc314,csc392,csc443,csc332,csc536,csc304,csc581,csc348,csc571,hum431,csc328,hum432,csc334,csc353,cse330,csd201,csd205,csd204,eee119,csd203,csd200,csd102,csd100,csd101,csd202,gpa_sem_1,gpa_sem_2,gpa_sem_3,gpa_sem_4,gpa_sem_5,gpa_sem_6,gpa_sem_7,gpa_sem_8,gpa_sem_9,gpa_sem_10,gpa_sem_11,gpa_sem_12,newRegNo,Program,LG,CGPA,null_row_count,real_merit,session_ordered,dropout,board_clean,reduced_boards,matric%,inter%,inter_sbuject_clean,boards_cat,inter_sbuject_cat,Gender_cat,Program_cat,gpa_sem_1_cat
Male,Punjab,Matric,1078,1100,"BISE, DG Khan",FSC,1059,1100,Pre Medical,"bise, dg khan",90,SP22,2022,3.48,3.48,3.48,3.48,3.48,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,ciit/sp22-bse-16/isb,bse,,3.48,134,93.30909091,16,,bise dg khan,kpk boards,0.98,0.962727273,premed,10,3,1,0,5
Female,Punjab,Matric,999,1100,"BISE, Rawalpindi",ICS,1030,1100,Computer Science,"bise, rawalpindi",82,SP22,2022,3.1,3.1,,,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,ciit/sp22-bse-328/isb,bse,,3.1,134,87.53636364,16,,bise rawalpindi,punjab boards,0.908181818,0.936363636,cs,27,0,0,0,4
Male,Islamabad Capital Territory,Matric,1037,1100,"FBISE, Islamabad",FSC,1045,1100,Pre Medical,"fbise, islamabad",79,SP22,2022,1.69,1.69,1.69,1.69,1.69,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,ciit/sp22-bse-3174/isb,bse,,1.69,136,86.92727273,16,,fbise,federal board,0.942727273,0.95,premed,30,3,1,0,0
Male,Fata,Matric,905,1100,"BISE, Abbotabad",FSC,930,1100,Pre Medical,"bise, abbotabad",80,SP22,2022,2.31,2.31,2.31,2.31,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,ciit/sp22-bse-2754/isb,bse,,2.31,136,82.04545455,16,,bise abbotabad,kpk boards,0.822727273,0.845454545,premed,8,3,1,0,1
Female,Gilgit-Baltistan,Matric,990,1100,"FBISE, Islamabad",FSC,938,1100,Pre Engineering,"fbise, islamabad",77,SP22,2022,2.54,2.54,,,2.54,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,ciit/sp22-bse-3189/isb,bse,,2.54,136,81.60909091,16,,fbise,federal board,0.9,0.852727273,preeng,30,2,0,0,2
Female,AJK,Matric,958,1100,"FBISE, Islamabad","ICS (Math, Physics, Computer)",938,1100,Computer Science,"fbise, islamabad",80,SP22,2022,2.54,2.54,,,2.54,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,ciit/sp22-bse-2228/isb,bse,,2.54,136,82.81818182,16,,fbise,federal board,0.870909091,0.852727273,cs,30,0,0,0,2
Female,AJK,Matric,974,1100,"FBISE, Islamabad",FSC,0,1100,Pre Engineering,"fbise, islamabad",67,SP22,2021,3.28,3.28,,,3.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,,,,ciit/sp22-bse-3628/isb,bse,,3.28,134,42.35454545,16,,fbise,federal board,0.885454545,0,preeng,30,2,0,0,4
Male,Punjab,Matric,954,1100,"FBISE, Islamabad","ICS (Math, Physics, Computer)",952,1100,Computer Science,"fbise, islamabad",78,SP22,2022,2.31,2.31,,,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,ciit/sp22-bse-1717/isb,bse,,2.31,136,82.29090909,16,,fbise,federal board,0.867272727,0.865454545,cs,30,0,1,0,1
Male,Khyber Pakhtoonkhawa,O-Level,759,900,"Cambridge International Examination, UK (Pakistan)",FSC,970,1100,Pre Medical,"bise, peshawar",77,SP22,2022,2.08,2.08,2.08,2.08,2.08,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,ciit/sp22-bse-1186/isb,bse,,2.08,136,82.20606061,16,,bise peshawar,kpk boards,0.843333333,0.881818182,premed,14,3,1,0,1
Male,Punjab,Matric,1033,1100,"FBISE, Islamabad",FSC,1038,1100,Pre Engineering,"bise, multan",84,SP22,2022,3.31,3.31,,,3.31,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,ciit/sp22-bse-2780/isb,bse,,3.31,136,89.13636364,16,,bise multan,punjab boards,0.939090909,0.943636364,preeng,26,2,1,0,5
